"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Homes",3219
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Homes",1164
2015,1,"Ciutat Vella",3,"la Barceloneta","Homes",808
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes",1302
2015,2,"Eixample",5,"el Fort Pienc","Homes",999
2015,2,"Eixample",6,"la Sagrada Família","Homes",1544
2015,2,"Eixample",7,"la Dreta de l'Eixample","Homes",1376
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes",1443
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes",1699
2015,2,"Eixample",10,"Sant Antoni","Homes",1188
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Homes",1573
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes",33
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Homes",691
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes",372
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Homes",605
2015,3,"Sants-Montjuïc",16,"la Bordeta","Homes",488
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Homes",708
2015,3,"Sants-Montjuïc",18,"Sants","Homes",1224
2015,4,"Les Corts",19,"les Corts","Homes",1022
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes",626
2015,4,"Les Corts",21,"Pedralbes","Homes",392
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes",110
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes",579
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes",313
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes",575
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes",1032
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes",679
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Homes",312
2015,6,"Gràcia",29,"el Coll","Homes",177
2015,6,"Gràcia",30,"la Salut","Homes",268
2015,6,"Gràcia",31,"la Vila de Gràcia","Homes",1607
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes",780
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes",587
2015,7,"Horta-Guinardó",34,"Can Baró","Homes",205
2015,7,"Horta-Guinardó",35,"el Guinardó","Homes",805
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes",125
2015,7,"Horta-Guinardó",37,"el Carmel","Homes",564
2015,7,"Horta-Guinardó",38,"la Teixonera","Homes",205
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes",135
2015,7,"Horta-Guinardó",40,"Montbau","Homes",112
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes",99
2015,7,"Horta-Guinardó",42,"la Clota","Homes",20
2015,7,"Horta-Guinardó",43,"Horta","Homes",481
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes",498
2015,8,"Nou Barris",45,"Porta","Homes",510
2015,8,"Nou Barris",46,"el Turó de la Peira","Homes",382
2015,8,"Nou Barris",47,"Can Peguera","Homes",17
2015,8,"Nou Barris",48,"la Guineueta","Homes",203
2015,8,"Nou Barris",49,"Canyelles","Homes",77
2015,8,"Nou Barris",50,"les Roquetes","Homes",409
2015,8,"Nou Barris",51,"Verdun","Homes",278
2015,8,"Nou Barris",52,"la Prosperitat","Homes",497
2015,8,"Nou Barris",53,"la Trinitat Nova","Homes",189
2015,8,"Nou Barris",54,"Torre Baró","Homes",70
2015,8,"Nou Barris",55,"Ciutat Meridiana","Homes",303
2015,8,"Nou Barris",56,"Vallbona","Homes",37
2015,9,"Sant Andreu",57,"la Trinitat Vella","Homes",407
2015,9,"Sant Andreu",58,"Baró de Viver","Homes",61
2015,9,"Sant Andreu",59,"el Bon Pastor","Homes",310
2015,9,"Sant Andreu",60,"Sant Andreu","Homes",898
2015,9,"Sant Andreu",61,"la Sagrera","Homes",548
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Homes",272
2015,9,"Sant Andreu",63,"Navas","Homes",470
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes",935
2015,10,"Sant Martí",65,"el Clot","Homes",612
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes",442
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes",243
2015,10,"Sant Martí",68,"el Poblenou","Homes",800
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes",348
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Homes",921
2015,10,"Sant Martí",71,"Provençals del Poblenou","Homes",474
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Homes",496
2015,10,"Sant Martí",73,"la Verneda i la Pau","Homes",529
2015,99,"No consta",99,"No consta","Homes",2
2015,1,"Ciutat Vella",1,"el Raval","Dones",2118
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Dones",1038
2015,1,"Ciutat Vella",3,"la Barceloneta","Dones",746
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones",1250
2015,2,"Eixample",5,"el Fort Pienc","Dones",1005
2015,2,"Eixample",6,"la Sagrada Família","Dones",1722
2015,2,"Eixample",7,"la Dreta de l'Eixample","Dones",1597
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones",1493
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones",1844
2015,2,"Eixample",10,"Sant Antoni","Dones",1108
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Dones",1321
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones",28
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Dones",674
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones",390
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Dones",569
2015,3,"Sants-Montjuïc",16,"la Bordeta","Dones",451
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Dones",767
2015,3,"Sants-Montjuïc",18,"Sants","Dones",1285
2015,4,"Les Corts",19,"les Corts","Dones",1099
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones",714
2015,4,"Les Corts",21,"Pedralbes","Dones",350
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones",121
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones",608
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones",396
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones",642
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones",1236
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones",780
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Dones",351
2015,6,"Gràcia",29,"el Coll","Dones",195
2015,6,"Gràcia",30,"la Salut","Dones",286
2015,6,"Gràcia",31,"la Vila de Gràcia","Dones",1895
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones",863
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones",618
2015,7,"Horta-Guinardó",34,"Can Baró","Dones",197
2015,7,"Horta-Guinardó",35,"el Guinardó","Dones",858
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones",105
2015,7,"Horta-Guinardó",37,"el Carmel","Dones",601
2015,7,"Horta-Guinardó",38,"la Teixonera","Dones",215
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones",136
2015,7,"Horta-Guinardó",40,"Montbau","Dones",110
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones",85
2015,7,"Horta-Guinardó",42,"la Clota","Dones",8
2015,7,"Horta-Guinardó",43,"Horta","Dones",507
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones",507
2015,8,"Nou Barris",45,"Porta","Dones",494
2015,8,"Nou Barris",46,"el Turó de la Peira","Dones",378
2015,8,"Nou Barris",47,"Can Peguera","Dones",24
2015,8,"Nou Barris",48,"la Guineueta","Dones",232
2015,8,"Nou Barris",49,"Canyelles","Dones",85
2015,8,"Nou Barris",50,"les Roquetes","Dones",433
2015,8,"Nou Barris",51,"Verdun","Dones",316
2015,8,"Nou Barris",52,"la Prosperitat","Dones",564
2015,8,"Nou Barris",53,"la Trinitat Nova","Dones",191
2015,8,"Nou Barris",54,"Torre Baró","Dones",71
2015,8,"Nou Barris",55,"Ciutat Meridiana","Dones",297
2015,8,"Nou Barris",56,"Vallbona","Dones",36
2015,9,"Sant Andreu",57,"la Trinitat Vella","Dones",287
2015,9,"Sant Andreu",58,"Baró de Viver","Dones",49
2015,9,"Sant Andreu",59,"el Bon Pastor","Dones",269
2015,9,"Sant Andreu",60,"Sant Andreu","Dones",913
2015,9,"Sant Andreu",61,"la Sagrera","Dones",628
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Dones",295
2015,9,"Sant Andreu",63,"Navas","Dones",462
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones",1013
2015,10,"Sant Martí",65,"el Clot","Dones",603
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones",449
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones",241
2015,10,"Sant Martí",68,"el Poblenou","Dones",804
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones",325
