"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nacionalitats","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Espanyola",969
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Espanyola",461
2018,1,"Ciutat Vella",3,"la Barceloneta","Espanyola",379
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Espanyola",588
2018,2,"Eixample",5,"el Fort Pienc","Espanyola",679
2018,2,"Eixample",6,"la Sagrada Família","Espanyola",1163
2018,2,"Eixample",7,"la Dreta de l'Eixample","Espanyola",992
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Espanyola",1111
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Espanyola",1409
2018,2,"Eixample",10,"Sant Antoni","Espanyola",837
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Espanyola",816
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Espanyola",24
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Espanyola",599
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Espanyola",196
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Espanyola",433
2018,3,"Sants-Montjuïc",16,"la Bordeta","Espanyola",483
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Espanyola",634
2018,3,"Sants-Montjuïc",18,"Sants","Espanyola",982
2018,4,"Les Corts",19,"les Corts","Espanyola",1057
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Espanyola",599
2018,4,"Les Corts",21,"Pedralbes","Espanyola",296
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Espanyola",71
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Espanyola",541
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Espanyola",406
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Espanyola",585
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Espanyola",986
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Espanyola",639
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Espanyola",296
2018,6,"Gràcia",29,"el Coll","Espanyola",149
2018,6,"Gràcia",30,"la Salut","Espanyola",275
2018,6,"Gràcia",31,"la Vila de Gràcia","Espanyola",1261
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Espanyola",732
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Espanyola",513
2018,7,"Horta-Guinardó",34,"Can Baró","Espanyola",166
2018,7,"Horta-Guinardó",35,"el Guinardó","Espanyola",660
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Espanyola",161
2018,7,"Horta-Guinardó",37,"el Carmel","Espanyola",545
2018,7,"Horta-Guinardó",38,"la Teixonera","Espanyola",183
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Espanyola",180
2018,7,"Horta-Guinardó",40,"Montbau","Espanyola",131
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Espanyola",104
2018,7,"Horta-Guinardó",42,"la Clota","Espanyola",10
2018,7,"Horta-Guinardó",43,"Horta","Espanyola",424
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Espanyola",455
2018,8,"Nou Barris",45,"Porta","Espanyola",475
2018,8,"Nou Barris",46,"el Turó de la Peira","Espanyola",265
2018,8,"Nou Barris",47,"Can Peguera","Espanyola",36
2018,8,"Nou Barris",48,"la Guineueta","Espanyola",214
2018,8,"Nou Barris",49,"Canyelles","Espanyola",88
2018,8,"Nou Barris",50,"les Roquetes","Espanyola",273
2018,8,"Nou Barris",51,"Verdun","Espanyola",213
2018,8,"Nou Barris",52,"la Prosperitat","Espanyola",460
2018,8,"Nou Barris",53,"la Trinitat Nova","Espanyola",165
2018,8,"Nou Barris",54,"Torre Baró","Espanyola",52
2018,8,"Nou Barris",55,"Ciutat Meridiana","Espanyola",196
2018,8,"Nou Barris",56,"Vallbona","Espanyola",24
2018,9,"Sant Andreu",57,"la Trinitat Vella","Espanyola",180
2018,9,"Sant Andreu",58,"Baró de Viver","Espanyola",61
2018,9,"Sant Andreu",59,"el Bon Pastor","Espanyola",236
2018,9,"Sant Andreu",60,"Sant Andreu","Espanyola",905
2018,9,"Sant Andreu",61,"la Sagrera","Espanyola",536
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Espanyola",304
2018,9,"Sant Andreu",63,"Navas","Espanyola",361
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Espanyola",814
2018,10,"Sant Martí",65,"el Clot","Espanyola",496
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Espanyola",276
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Espanyola",148
2018,10,"Sant Martí",68,"el Poblenou","Espanyola",536
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Espanyola",203
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Espanyola",483
2018,10,"Sant Martí",71,"Provençals del Poblenou","Espanyola",365
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Espanyola",422
2018,10,"Sant Martí",73,"la Verneda i la Pau","Espanyola",440
2018,1,"Ciutat Vella",1,"el Raval","Estrangera",4730
