       ,,,,,,,,,,,,
,,,,,,,,,,,,
Districtes ,2014,%,2015,%,2016,%,2017,%,2018,%,,
       ,,,,,,,,,,,,
BARCELONA  ,267.578  ,"100,0  ",262.233  ,"100,0  ",267.790  ,"100,0  ",288.675  ,"100,0  ",301.626  ,"100,0  ",,
       ,,,,,,,,,,,,
1. Ciutat Vella  ,42.492  ,"15,9  ",42.255  ,"16,1  ",42.969  ,"16,0  ",45.433  ,"15,7  ",45.666  ,"15,1  ",,
2. Eixample  ,47.981  ,"17,9  ",47.663  ,"18,2  ",49.215  ,"18,4  ",53.757  ,"18,6  ",55.755  ,"18,5  ",,
3. Sants-Montjuïc  ,34.036  ,"12,7  ",33.140  ,"12,6  ",33.645  ,"12,6  ",35.491  ,"12,3  ",36.340  ,"12,0  ",,
4. Les Corts  ,8.829  ,"3,3  ",8.726  ,"3,3  ",8.895  ,"3,3  ",9.745  ,"3,4  ",10.197  ,"3,4  ",,
5. Sarrià-Sant Gervasi  ,16.180  ,"6,0  ",16.199  ,"6,2  ",16.472  ,"6,2  ",18.013  ,"6,2  ",18.456  ,"6,1  ",,
6. Gràcia  ,17.963  ,"6,7  ",17.791  ,"6,8  ",18.339  ,"6,8  ",19.743  ,"6,8  ",20.425  ,"6,8  ",,
7. Horta-Guinardó  ,19.929  ,"7,4  ",18.854  ,"7,2  ",19.278  ,"7,2  ",20.979  ,"7,3  ",22.478  ,"7,5  ",,
8. Nou Barris  ,24.602  ,"9,2  ",23.771  ,"9,1  ",24.186  ,"9,0  ",26.046  ,"9,0  ",27.900  ,"9,2  ",,
9. Sant Andreu  ,16.936  ,"6,3  ",16.439  ,"6,3  ",16.454  ,"6,1  ",17.509  ,"6,1  ",18.446  ,"6,1  ",,
10. Sant Martí  ,35.263  ,"13,2  ",34.983  ,"13,3  ",35.874  ,"13,4  ",38.750  ,"13,4  ",40.607  ,"13,5  ",,
SDF   ,3.367  ,"1,3  ",2.412  ,"0,9  ",2.463  ,"0,9  ",3.209  ,"1,1  ",5.356  ,"1,8  ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
