Año,Periodo,Parámetro,Denuncias
2017,Trimestre 3,Agresión sexual con penetración,92
2017,Trimestre 3,Homicidios dolosos y asesinatos consumados,23
2017,Trimestre 3,Hurtos,68.276
2017,Trimestre 3,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",5.701
2017,Trimestre 3,Robos con violencia e intimidación,7.340
2017,Trimestre 3,Secuestro,3
2017,Trimestre 3,Sustracciones de vehículos,3.419
2017,Trimestre 3,Total,120.576
2017,Trimestre 3,Tráfico de drogas,400
2017,Trimestre 4,Agresión sexual con penetración,118
2017,Trimestre 4,Homicidios dolosos y asesinatos consumados,28
2017,Trimestre 4,Hurtos,93.460
2017,Trimestre 4,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.793
2017,Trimestre 4,Robos con violencia e intimidación,10.285
2017,Trimestre 4,Secuestro,3
2017,Trimestre 4,Sustracciones de vehículos,4.659
2017,Trimestre 4,Total,165.640
2017,Trimestre 4,Tráfico de drogas,481
2018,Trimestre 1,Agresión sexual con penetración,35
2018,Trimestre 1,Homicidios dolosos y asesinatos consumados,1
2018,Trimestre 1,Hurtos,24.562
2018,Trimestre 1,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2.032
2018,Trimestre 1,Robos con violencia e intimidación,2.760
2018,Trimestre 1,Secuestro,0
2018,Trimestre 1,Sustracciones de vehículos,1.053
2018,Trimestre 1,Total,43.979
2018,Trimestre 1,Tráfico de drogas,136
2018,Trimestre 2,Agresión sexual con penetración,68
2018,Trimestre 2,Homicidios dolosos y asesinatos consumados,3
2018,Trimestre 2,Hurtos,52.141
2018,Trimestre 2,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",4.253
2018,Trimestre 2,Robos con violencia e intimidación,5.427
2018,Trimestre 2,Secuestro,0
2018,Trimestre 2,Sustracciones de vehículos,2.248
2018,Trimestre 2,Total,92.332
2018,Trimestre 2,Tráfico de drogas,267
2018,Trimestre 3,Agresión sexual con penetración,107
2018,Trimestre 3,Homicidios dolosos y asesinatos consumados,9
2018,Trimestre 3,Hurtos,81.777
2018,Trimestre 3,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.058
2018,Trimestre 3,Robos con violencia e intimidación,8.672
2018,Trimestre 3,Secuestro,0
2018,Trimestre 3,Sustracciones de vehículos,3.470
2018,Trimestre 3,Total,144.070
2018,Trimestre 3,Tráfico de drogas,391
2018,Trimestre 4,Agresión sexual con penetración,136
2018,Trimestre 4,Homicidios dolosos y asesinatos consumados,10
2018,Trimestre 4,Hurtos,109.173
2018,Trimestre 4,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",9.365
2018,Trimestre 4,Robos con violencia e intimidación,12.283
2018,Trimestre 4,Secuestro,0
2018,Trimestre 4,Sustracciones de vehículos,4.768
2018,Trimestre 4,Total,194.290
2018,Trimestre 4,Tráfico de drogas,500
2019,Trimestre 1,Agresión sexual con penetración,26
2019,Trimestre 1,Homicidios dolosos y asesinatos consumados,1
2019,Trimestre 1,Hurtos,26.836
2019,Trimestre 1,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2.346
2019,Trimestre 1,Robos con violencia e intimidación,3.549
2019,Trimestre 1,Secuestro,0
2019,Trimestre 1,Sustracciones de vehículos,1.294
2019,Trimestre 1,Total,49.363
2019,Trimestre 1,Tráfico de drogas,140
2019,Trimestre 2,Agresión sexual con penetración,60
2019,Trimestre 2,Homicidios dolosos y asesinatos consumados,3
2019,Trimestre 2,Hurtos,56.015
2019,Trimestre 2,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",4.506
2019,Trimestre 2,Robos con violencia e intimidación,7.082
2019,Trimestre 2,Secuestro,0
2019,Trimestre 2,Sustracciones de vehículos,2.460
2019,Trimestre 2,Total,99.942
2019,Trimestre 2,Tráfico de drogas,270
2019,Trimestre 3,Agresión sexual con penetración,110
2019,Trimestre 3,Homicidios dolosos y asesinatos consumados,15
2019,Trimestre 3,Hurtos,84.258
2019,Trimestre 3,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.176
2019,Trimestre 3,Robos con violencia e intimidación,10.833
2019,Trimestre 3,Secuestro,0
2019,Trimestre 3,Sustracciones de vehículos,3.427
2019,Trimestre 3,Total,151.591
2019,Trimestre 3,Tráfico de drogas,386
2019,Trimestre 4,Agresión sexual con penetración,158
2019,Trimestre 4,Homicidios dolosos y asesinatos consumados,17
2019,Trimestre 4,Hurtos,108.308
2019,Trimestre 4,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",9.381
2019,Trimestre 4,Robos con violencia e intimidación,14.750
2019,Trimestre 4,Secuestro,0
2019,Trimestre 4,Sustracciones de vehículos,4.643
2019,Trimestre 4,Total,200.225
2019,Trimestre 4,Tráfico de drogas,527
