ISO  ,Nacionalitat,Regio,Continent  
ALB  ,Albània  ,Europa meridional  ,Europa  
AND  ,Andorra  ,Europa meridional  ,Europa  
BIH  ,Bòsnia i Hercegovina  ,Europa meridional  ,Europa  
HRV  ,Croàcia  ,Europa meridional  ,Europa  
SVN  ,Eslovènia  ,Europa meridional  ,Europa  
ESP  ,Espanya  ,Europa meridional  ,Europa  
GRC  ,Grècia  ,Europa meridional  ,Europa  
ITA  ,Itàlia  ,Europa meridional  ,Europa  
MKD  ,Macedònia  ,Europa meridional  ,Europa  
MLT  ,Malta  ,Europa meridional  ,Europa  
MNE  ,Montenegro  ,Europa meridional  ,Europa  
PRT  ,Portugal  ,Europa meridional  ,Europa  
SMR  ,San Marino  ,Europa meridional  ,Europa  
VAT  ,Santa Seu  ,Europa meridional  ,Europa  
SRB  ,Sèrbia  ,Europa meridional  ,Europa  
DEU  ,Alemanya  ,Europa occidental  ,Europa  
AUT  ,Àustria  ,Europa occidental  ,Europa  
BEL  ,Bèlgica  ,Europa occidental  ,Europa  
FRA  ,França  ,Europa occidental  ,Europa  
LIE  ,Liechtenstein  ,Europa occidental  ,Europa  
LUX  ,Luxemburg  ,Europa occidental  ,Europa  
MCO  ,Mònaco  ,Europa occidental  ,Europa  
NLD  ,Països Baixos  ,Europa occidental  ,Europa  
CHE  ,Suïssa  ,Europa occidental  ,Europa  
BLR  ,Belarús  ,Europa oriental  ,Europa  
BGR  ,Bulgària  ,Europa oriental  ,Europa  
SVK  ,Eslovàquia  ,Europa oriental  ,Europa  
HUN  ,Hongria  ,Europa oriental  ,Europa  
MDA  ,Moldàvia  ,Europa oriental  ,Europa  
POL  ,Polònia  ,Europa oriental  ,Europa  
ROU  ,Romania  ,Europa oriental  ,Europa  
RUS  ,Rússia  ,Europa oriental  ,Europa  
CZE  ,Txèquia  ,Europa oriental  ,Europa  
UKR  ,Ucraïna  ,Europa oriental  ,Europa  
DNK  ,Dinamarca  ,Europa septentrional  ,Europa  
EST  ,Estònia  ,Europa septentrional  ,Europa  
FIN  ,Finlàndia  ,Europa septentrional  ,Europa  
IRL  ,Irlanda  ,Europa septentrional  ,Europa  
ISL  ,Islàndia  ,Europa septentrional  ,Europa  
LVA  ,Letònia  ,Europa septentrional  ,Europa  
LTU  ,Lituània  ,Europa septentrional  ,Europa  
NOR  ,Noruega  ,Europa septentrional  ,Europa  
GBR  ,Regne Unit  ,Europa septentrional  ,Europa  
SWE  ,Suècia  ,Europa septentrional  ,Europa  
AGO  ,Angola  ,Àfrica central  ,Àfrica  
CMR  ,Camerun  ,Àfrica central  ,Àfrica  
COG  ,Congo  ,Àfrica central  ,Àfrica  
GAB  ,Gabon  ,Àfrica central  ,Àfrica  
GNQ  ,Guinea Equatorial  ,Àfrica central  ,Àfrica  
